datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,NO,0.003
2022-05-13T00:00:00+03:00,NO2,0.018
2022-05-13T00:00:00+03:00,SO2,0.0006
2022-05-14T00:00:00+03:00,SO2,0.0005
2022-05-14T00:00:00+03:00,NO,0.002
2022-05-14T00:00:00+03:00,NO2,0.022
2022-05-15T00:00:00+03:00,SO2,0.0012
2022-05-15T00:00:00+03:00,NO,0.003
2022-05-15T00:00:00+03:00,NO2,0.034
2022-05-16T00:00:00+03:00,NO2,0.025
2022-05-16T00:00:00+03:00,SO2,0.0006
2022-05-16T00:00:00+03:00,NO,0.003
2022-05-17T00:00:00+03:00,SO2,0.0006
2022-05-17T00:00:00+03:00,NO,0.006
2022-05-17T00:00:00+03:00,NO2,0.035
2022-05-18T00:00:00+03:00,SO2,0.0032
2022-05-18T00:00:00+03:00,NO2,0.031
2022-05-18T00:00:00+03:00,NO,0.007
2022-05-19T00:00:00+03:00,NO,0.006
2022-05-19T00:00:00+03:00,SO2,0.0016
2022-05-19T00:00:00+03:00,NO2,0.045
2022-05-20T00:00:00+03:00,NO,0.009
2022-05-20T00:00:00+03:00,NO2,0.042
2022-05-20T00:00:00+03:00,SO2,0.0067
2022-05-21T00:00:00+03:00,NO2,0.051
2022-05-21T00:00:00+03:00,NO,0.035
2022-05-21T00:00:00+03:00,SO2,0.0026
2022-05-22T00:00:00+03:00,SO2,0.0125
2022-05-22T00:00:00+03:00,NO2,0.026
2022-05-22T00:00:00+03:00,NO,0.004
2022-05-23T00:00:00+03:00,SO2,0.0027
2022-05-23T00:00:00+03:00,NO2,0.03
2022-05-23T00:00:00+03:00,NO,0.004
2022-05-24T00:00:00+03:00,NO,0.006
2022-05-24T00:00:00+03:00,SO2,0.0056
2022-05-24T00:00:00+03:00,NO2,0.036
2022-05-25T00:00:00+03:00,NO2,0.027
2022-05-25T00:00:00+03:00,SO2,0.0031
2022-05-25T00:00:00+03:00,NO,0.006
2022-05-26T00:00:00+03:00,NO,0.006
2022-05-26T00:00:00+03:00,NO2,0.04
2022-05-26T00:00:00+03:00,SO2,0.002
2022-05-27T00:00:00+03:00,SO2,0.0014
2022-05-27T00:00:00+03:00,NO,0.003
2022-05-27T00:00:00+03:00,NO2,0.03
2022-05-28T00:00:00+03:00,NO,0.014
2022-05-28T00:00:00+03:00,SO2,0.0015
2022-05-28T00:00:00+03:00,NO2,0.039
2022-05-29T00:00:00+03:00,NO2,0.033
2022-05-29T00:00:00+03:00,SO2,0.0015
2022-05-29T00:00:00+03:00,NO,0.012
2022-05-30T00:00:00+03:00,NO,0.019
2022-05-30T00:00:00+03:00,NO2,0.049
2022-05-30T00:00:00+03:00,SO2,0.0019
2022-05-31T00:00:00+03:00,NO2,0.061
2022-05-31T00:00:00+03:00,SO2,0.0017
2022-05-31T00:00:00+03:00,NO,0.011
2022-06-01T00:00:00+03:00,NO,0.016
2022-06-01T00:00:00+03:00,NO2,0.057
2022-06-01T00:00:00+03:00,SO2,0.0028
2022-06-02T00:00:00+03:00,NO2,0.04
2022-06-02T00:00:00+03:00,SO2,0.0017
2022-06-02T00:00:00+03:00,NO,0.005
2022-06-03T00:00:00+03:00,SO2,0.0013
2022-06-03T00:00:00+03:00,NO,0.009
2022-06-03T00:00:00+03:00,NO2,0.041
2022-06-04T00:00:00+03:00,NO,0.005
2022-06-04T00:00:00+03:00,NO2,0.035
2022-06-04T00:00:00+03:00,SO2,0.0011
2022-06-05T00:00:00+03:00,NO,0.04
2022-06-05T00:00:00+03:00,NO2,0.05
2022-06-05T00:00:00+03:00,SO2,0.0017
2022-06-06T00:00:00+03:00,NO,0.006
2022-06-06T00:00:00+03:00,NO2,0.047
2022-06-06T00:00:00+03:00,SO2,0.0019
2022-06-07T00:00:00+03:00,NO,0.006
2022-06-07T00:00:00+03:00,NO2,0.044
2022-06-07T00:00:00+03:00,SO2,0.0014
2022-06-08T00:00:00+03:00,NO2,0.067
2022-06-08T00:00:00+03:00,NO,0.06
2022-06-08T00:00:00+03:00,SO2,0.0054
2022-06-09T00:00:00+03:00,NO2,0.073
2022-06-09T00:00:00+03:00,SO2,0.0036
2022-06-09T00:00:00+03:00,NO,0.036
2022-06-10T00:00:00+03:00,SO2,0.002
2022-06-10T00:00:00+03:00,NO,0.019
2022-06-10T00:00:00+03:00,NO2,0.057
2022-06-11T00:00:00+03:00,NO2,0.078
2022-06-11T00:00:00+03:00,SO2,0.0055
2022-06-11T00:00:00+03:00,NO,0.011
2022-06-12T00:00:00+03:00,NO,0.011
2022-06-12T00:00:00+03:00,NO2,0.056
2022-06-12T00:00:00+03:00,SO2,0.002
2022-06-13T00:00:00+03:00,NO2,0.044
2022-06-13T00:00:00+03:00,NO,0.005
2022-06-13T00:00:00+03:00,SO2,0.0019
2022-06-14T00:00:00+03:00,NO2,0.042
2022-06-14T00:00:00+03:00,SO2,0.0017
2022-06-14T00:00:00+03:00,NO,0.025
2022-06-15T00:00:00+03:00,SO2,0.0014
2022-06-15T00:00:00+03:00,NO,0.005
2022-06-15T00:00:00+03:00,NO2,0.019
2022-06-16T00:00:00+03:00,NO,0.006
2022-06-16T00:00:00+03:00,NO2,0.022
2022-06-16T00:00:00+03:00,SO2,0.0014
2022-06-17T00:00:00+03:00,NO,0.021
2022-06-17T00:00:00+03:00,SO2,0.0017
2022-06-17T00:00:00+03:00,NO2,0.049
2022-06-18T00:00:00+03:00,SO2,0.0016
2022-06-18T00:00:00+03:00,NO2,0.043
2022-06-18T00:00:00+03:00,NO,0.014
2022-06-19T00:00:00+03:00,NO2,0.031
2022-06-19T00:00:00+03:00,NO,0.021
2022-06-19T00:00:00+03:00,SO2,0.0016
2022-06-20T00:00:00+03:00,NO2,0.028
2022-06-20T00:00:00+03:00,NO,0.006
2022-06-20T00:00:00+03:00,SO2,0.0015
2022-06-21T00:00:00+03:00,SO2,0.002
2022-06-21T00:00:00+03:00,NO2,0.064
2022-06-21T00:00:00+03:00,NO,0.036
2022-06-22T00:00:00+03:00,NO,0.015
2022-06-22T00:00:00+03:00,SO2,0.0045
2022-06-22T00:00:00+03:00,NO2,0.044
2022-06-23T00:00:00+03:00,NO,0.008
2022-06-23T00:00:00+03:00,SO2,0.0261
2022-06-23T00:00:00+03:00,NO2,0.033
2022-06-24T00:00:00+03:00,SO2,0.0312
2022-06-24T00:00:00+03:00,NO,0.007
2022-06-24T00:00:00+03:00,NO2,0.046
