datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.011
2021-07-01T00:00:00+03:00,OZ,0.0491
2021-07-01T00:00:00+03:00,SO2,0.0026
2021-07-01T00:00:00+03:00,CO,0.15
2021-07-01T00:00:00+03:00,NO2,0.03
2021-07-01T00:00:00+03:00,PM2.5,0.012
2021-07-01T00:00:00+03:00,PM10,0.02
2021-08-01T00:00:00+03:00,NO,0.011
2021-08-01T00:00:00+03:00,NO2,0.03
2021-08-01T00:00:00+03:00,PM2.5,0.01
2021-08-01T00:00:00+03:00,OZ,0.0405
2021-08-01T00:00:00+03:00,PM10,0.016
2021-08-01T00:00:00+03:00,CO,0.23
2021-08-01T00:00:00+03:00,SO2,0.0032
2021-09-01T00:00:00+03:00,PM10,0.008
2021-09-01T00:00:00+03:00,NO,0.009
2021-09-01T00:00:00+03:00,PM2.5,0.005
2021-09-01T00:00:00+03:00,CO,0.22
2021-09-01T00:00:00+03:00,NO2,0.025
2021-09-01T00:00:00+03:00,OZ,0.0239
2021-09-01T00:00:00+03:00,SO2,0.0016
2021-10-01T00:00:00+03:00,NO,0.029
2021-10-01T00:00:00+03:00,PM2.5,0.01
2021-10-01T00:00:00+03:00,NO2,0.039
2021-10-01T00:00:00+03:00,PM10,0.015
2021-10-01T00:00:00+03:00,CO,0.24
2021-10-01T00:00:00+03:00,SO2,0.0033
2021-10-01T00:00:00+03:00,OZ,0.0193
2021-11-01T00:00:00+03:00,PM2.5,0.006
2021-11-01T00:00:00+03:00,NO,0.012
2021-11-01T00:00:00+03:00,CO,0.22
2021-11-01T00:00:00+03:00,PM10,0.009
2021-11-01T00:00:00+03:00,OZ,0.0201
2021-11-01T00:00:00+03:00,SO2,0.0033
2021-11-01T00:00:00+03:00,NO2,0.043
2021-12-01T00:00:00+03:00,CO,0.2
2021-12-01T00:00:00+03:00,PM2.5,0.009
2021-12-01T00:00:00+03:00,NO2,0.056
2021-12-01T00:00:00+03:00,PM10,0.011
2021-12-01T00:00:00+03:00,NO,0.019
2021-12-01T00:00:00+03:00,SO2,0.0026
2021-12-01T00:00:00+03:00,OZ,0.0145
2022-01-01T00:00:00+03:00,NO,0.012
2022-01-01T00:00:00+03:00,CO,0.23
2022-01-01T00:00:00+03:00,NO2,0.048
2022-01-01T00:00:00+03:00,PM2.5,0.008
2022-01-01T00:00:00+03:00,PM10,0.01
2022-01-01T00:00:00+03:00,SO2,0.0028
2022-01-01T00:00:00+03:00,OZ,0.0295
2022-02-01T00:00:00+03:00,PM2.5,0.007
2022-02-01T00:00:00+03:00,CO,0.31
2022-02-01T00:00:00+03:00,NO2,0.049
2022-02-01T00:00:00+03:00,SO2,0.0023
2022-02-01T00:00:00+03:00,OZ,0.025
2022-02-01T00:00:00+03:00,NO,0.01
2022-02-01T00:00:00+03:00,PM10,0.01
2022-03-01T00:00:00+03:00,CO,0.33
2022-03-01T00:00:00+03:00,SO2,0.0027
2022-03-01T00:00:00+03:00,NO,0.025
2022-03-01T00:00:00+03:00,PM10,0.015
2022-03-01T00:00:00+03:00,NO2,0.05
2022-03-01T00:00:00+03:00,OZ,0.0294
2022-03-01T00:00:00+03:00,PM2.5,0.008
2022-04-01T00:00:00+03:00,CO,0.25
2022-04-01T00:00:00+03:00,PM2.5,0.007
2022-04-01T00:00:00+03:00,NO,0.005
2022-04-01T00:00:00+03:00,NO2,0.028
2022-04-01T00:00:00+03:00,OZ,0.0368
2022-04-01T00:00:00+03:00,SO2,0.0017
2022-04-01T00:00:00+03:00,PM10,0.011
2022-05-01T00:00:00+03:00,NO2,0.027
2022-05-01T00:00:00+03:00,NO,0.006
2022-05-01T00:00:00+03:00,OZ,0.0344
2022-05-01T00:00:00+03:00,PM2.5,0.007
2022-05-01T00:00:00+03:00,PM10,0.012
2022-05-01T00:00:00+03:00,CO,0.37
2022-05-01T00:00:00+03:00,SO2,0.0015
2022-06-01T00:00:00+03:00,OZ,
2022-06-01T00:00:00+03:00,NO,0.01
2022-06-01T00:00:00+03:00,SO2,0.0014
2022-06-01T00:00:00+03:00,PM2.5,0.008
2022-06-01T00:00:00+03:00,PM10,0.011
2022-06-01T00:00:00+03:00,NO2,0.03
2022-07-01T00:00:00+03:00,OZ,0.0317
2022-07-01T00:00:00+03:00,PM2.5,0.009
2022-07-01T00:00:00+03:00,PM10,0.01
2022-08-01T00:00:00+03:00,OZ,0.0353
2022-08-01T00:00:00+03:00,NO,0.011
2022-08-01T00:00:00+03:00,PM10,0.029
2022-08-01T00:00:00+03:00,CO,0.45
2022-08-01T00:00:00+03:00,PM2.5,0.019
2022-08-01T00:00:00+03:00,SO2,0.002
2022-08-01T00:00:00+03:00,NO2,0.032
2022-09-01T00:00:00+03:00,NO,0.029
2022-09-01T00:00:00+03:00,OZ,0.013
2022-09-01T00:00:00+03:00,PM2.5,0.007
2022-09-01T00:00:00+03:00,SO2,0.0015
2022-09-01T00:00:00+03:00,NO2,0.025
2022-09-01T00:00:00+03:00,CO,0.31
2022-09-01T00:00:00+03:00,PM10,0.012
2022-10-01T00:00:00+03:00,SO2,0.0021
2022-10-01T00:00:00+03:00,NO,0.027
2022-10-01T00:00:00+03:00,PM2.5,0.008
2022-10-01T00:00:00+03:00,NO2,0.042
2022-10-01T00:00:00+03:00,CO,0.29
2022-10-01T00:00:00+03:00,OZ,0.0108
2022-10-01T00:00:00+03:00,PM10,0.015
2022-11-01T00:00:00+03:00,PM2.5,0.009
2022-11-01T00:00:00+03:00,OZ,0.018
2022-11-01T00:00:00+03:00,SO2,0.0013
2022-11-01T00:00:00+03:00,PM10,0.014
2022-11-01T00:00:00+03:00,NO2,0.033
2022-11-01T00:00:00+03:00,NO,0.012
2022-11-01T00:00:00+03:00,CO,0.23
2022-12-01T00:00:00+03:00,NO2,0.047
2022-12-01T00:00:00+03:00,OZ,0.0154
2022-12-01T00:00:00+03:00,PM2.5,0.01
2022-12-01T00:00:00+03:00,PM10,0.014
2022-12-01T00:00:00+03:00,CO,0.32
2022-12-01T00:00:00+03:00,SO2,0.0017
2022-12-01T00:00:00+03:00,NO,0.017
2023-01-01T00:00:00+03:00,PM2.5,0.009
2023-01-01T00:00:00+03:00,SO2,0.0024
2023-01-01T00:00:00+03:00,OZ,0.0285
2023-01-01T00:00:00+03:00,CO,0.21
2023-01-01T00:00:00+03:00,NO2,0.044
2023-01-01T00:00:00+03:00,PM10,0.014
2023-01-01T00:00:00+03:00,NO,0.007
2023-02-01T00:00:00+03:00,NO,0.008
2023-02-01T00:00:00+03:00,SO2,0.002
2023-02-01T00:00:00+03:00,OZ,0.0401
2023-02-01T00:00:00+03:00,NO2,0.045
2023-02-01T00:00:00+03:00,PM2.5,0.01
2023-02-01T00:00:00+03:00,PM10,0.014
2023-02-01T00:00:00+03:00,CO,0.25
2023-03-01T00:00:00+03:00,NO,0.012
2023-03-01T00:00:00+03:00,NO2,0.051
2023-03-01T00:00:00+03:00,CO,0.28
2023-03-01T00:00:00+03:00,SO2,0.0016
2023-03-01T00:00:00+03:00,PM10,0.013
2023-03-01T00:00:00+03:00,PM2.5,0.007
