datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,PM2.5,0.005
2021-07-01T00:00:00+03:00,CO,0.23
2021-07-01T00:00:00+03:00,NO,0.011
2021-07-01T00:00:00+03:00,PM10,0.008
2021-07-01T00:00:00+03:00,NO2,0.033
2021-08-01T00:00:00+03:00,NO2,0.036
2021-08-01T00:00:00+03:00,PM2.5,0.007
2021-08-01T00:00:00+03:00,NO,0.009
2021-08-01T00:00:00+03:00,CO,0.15
2021-08-01T00:00:00+03:00,PM10,0.01
2021-09-01T00:00:00+03:00,PM10,0.006
2021-09-01T00:00:00+03:00,NO,0.009
2021-09-01T00:00:00+03:00,CO,0.28
2021-09-01T00:00:00+03:00,NO2,0.026
2021-09-01T00:00:00+03:00,PM2.5,0.005
2021-10-01T00:00:00+03:00,PM2.5,0.008
2021-10-01T00:00:00+03:00,PM10,0.011
2021-10-01T00:00:00+03:00,NO2,0.037
2021-10-01T00:00:00+03:00,CO,0.42
2021-10-01T00:00:00+03:00,NO,0.03
2021-11-01T00:00:00+03:00,PM10,0.009
2021-11-01T00:00:00+03:00,NO2,0.025
2021-11-01T00:00:00+03:00,CO,0.34
2021-11-01T00:00:00+03:00,PM2.5,0.007
2021-11-01T00:00:00+03:00,NO,0.009
2021-12-01T00:00:00+03:00,PM2.5,0.009
2021-12-01T00:00:00+03:00,NO2,0.033
2021-12-01T00:00:00+03:00,NO,0.017
2021-12-01T00:00:00+03:00,CO,0.4
2021-12-01T00:00:00+03:00,PM10,0.01
2022-01-01T00:00:00+03:00,PM2.5,0.009
2022-01-01T00:00:00+03:00,NO,0.01
2022-01-01T00:00:00+03:00,NO2,0.038
2022-01-01T00:00:00+03:00,PM10,0.009
2022-01-01T00:00:00+03:00,CO,0.28
2022-02-01T00:00:00+03:00,NO,0.011
2022-02-01T00:00:00+03:00,PM10,0.01
2022-02-01T00:00:00+03:00,NO2,0.049
2022-02-01T00:00:00+03:00,PM2.5,0.008
2022-02-01T00:00:00+03:00,CO,0.28
2022-03-01T00:00:00+03:00,CO,0.41
2022-03-01T00:00:00+03:00,NO2,0.05
2022-03-01T00:00:00+03:00,PM10,0.012
2022-03-01T00:00:00+03:00,PM2.5,0.006
2022-03-01T00:00:00+03:00,NO,0.037
2022-04-01T00:00:00+03:00,PM10,0
2022-04-01T00:00:00+03:00,PM2.5,0
2022-04-01T00:00:00+03:00,NO,0.005
2022-04-01T00:00:00+03:00,NO2,0.03
2022-04-01T00:00:00+03:00,CO,0.22
2022-05-01T00:00:00+03:00,CO,0.19
2022-05-01T00:00:00+03:00,PM10,0.022
2022-05-01T00:00:00+03:00,NO,0.005
2022-05-01T00:00:00+03:00,PM2.5,0.008
2022-05-01T00:00:00+03:00,NO2,0.024
2022-06-01T00:00:00+03:00,NO,0.011
2022-06-01T00:00:00+03:00,PM2.5,0.01
2022-06-01T00:00:00+03:00,PM10,0.033
2022-06-01T00:00:00+03:00,CO,0.29
2022-06-01T00:00:00+03:00,NO2,0.03
2022-07-01T00:00:00+03:00,NO2,0.028
2022-07-01T00:00:00+03:00,CO,0.3
2022-07-01T00:00:00+03:00,PM10,0.027
2022-07-01T00:00:00+03:00,NO,0.008
2022-07-01T00:00:00+03:00,PM2.5,0.01
2022-08-01T00:00:00+03:00,PM2.5,0.018
2022-08-01T00:00:00+03:00,CO,0.41
2022-08-01T00:00:00+03:00,NO2,0.038
2022-08-01T00:00:00+03:00,NO,0.016
2022-08-01T00:00:00+03:00,PM10,0.052
2022-09-01T00:00:00+03:00,PM10,0.017
2022-09-01T00:00:00+03:00,NO,0.02
2022-09-01T00:00:00+03:00,NO2,0.024
2022-09-01T00:00:00+03:00,PM2.5,0.008
2022-09-01T00:00:00+03:00,CO,0.31
2022-10-01T00:00:00+03:00,NO2,0.03
2022-10-01T00:00:00+03:00,PM2.5,0.01
2022-10-01T00:00:00+03:00,CO,0.3
2022-10-01T00:00:00+03:00,PM10,0.02
2022-10-01T00:00:00+03:00,NO,0.019
2022-11-01T00:00:00+03:00,CO,0.24
2022-11-01T00:00:00+03:00,NO2,0.025
2022-11-01T00:00:00+03:00,PM10,0.015
2022-11-01T00:00:00+03:00,PM2.5,0.011
2022-11-01T00:00:00+03:00,NO,0.012
2022-12-01T00:00:00+03:00,PM10,0.021
2022-12-01T00:00:00+03:00,NO,0.024
2022-12-01T00:00:00+03:00,PM2.5,0.015
2022-12-01T00:00:00+03:00,NO2,0.039
2022-12-01T00:00:00+03:00,CO,0.34
2023-01-01T00:00:00+03:00,PM10,0.016
2023-01-01T00:00:00+03:00,NO2,0.036
2023-01-01T00:00:00+03:00,CO,0.29
2023-01-01T00:00:00+03:00,PM2.5,0.013
2023-01-01T00:00:00+03:00,NO,0.007
2023-02-01T00:00:00+03:00,PM10,0.015
2023-02-01T00:00:00+03:00,NO2,0.032
2023-02-01T00:00:00+03:00,PM2.5,0.013
2023-02-01T00:00:00+03:00,CO,0.23
2023-02-01T00:00:00+03:00,NO,0.005
2023-03-01T00:00:00+03:00,PM10,0.016
2023-03-01T00:00:00+03:00,NO2,0.037
2023-03-01T00:00:00+03:00,CO,0.27
2023-03-01T00:00:00+03:00,PM2.5,0.009
2023-03-01T00:00:00+03:00,NO,0.01
2023-04-01T00:00:00+03:00,NO2,0.049
2023-04-01T00:00:00+03:00,PM2.5,0.016
2023-04-01T00:00:00+03:00,PM10,0.053
