datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.033
2021-07-01T00:00:00+03:00,NO2,0.043
2021-07-01T00:00:00+03:00,NH3,0.0117
2021-07-01T00:00:00+03:00,SO2,0.0011
2021-07-01T00:00:00+03:00,PM10,0.045
2021-07-01T00:00:00+03:00,CO,0.18
2021-08-01T00:00:00+03:00,NO2,0.047
2021-08-01T00:00:00+03:00,SO2,0.0026
2021-08-01T00:00:00+03:00,NH3,0.0102
2021-08-01T00:00:00+03:00,PM10,0.033
2021-08-01T00:00:00+03:00,CO,0.22
2021-08-01T00:00:00+03:00,NO,0.025
2021-09-01T00:00:00+03:00,NO,0.019
2021-09-01T00:00:00+03:00,NH3,0.0043
2021-09-01T00:00:00+03:00,SO2,0.0012
2021-09-01T00:00:00+03:00,CO,0.26
2021-09-01T00:00:00+03:00,NO2,0.032
2021-09-01T00:00:00+03:00,PM10,0.02
2021-10-01T00:00:00+03:00,NO2,0.04
2021-10-01T00:00:00+03:00,NH3,0.0101
2021-10-01T00:00:00+03:00,SO2,0.0023
2021-10-01T00:00:00+03:00,NO,0.061
2021-10-01T00:00:00+03:00,PM10,0.039
2021-10-01T00:00:00+03:00,CO,0.58
2021-11-01T00:00:00+03:00,CO,0.19
2021-11-01T00:00:00+03:00,NH3,0.003
2021-11-01T00:00:00+03:00,NO2,0.022
2021-11-01T00:00:00+03:00,PM10,0.019
2021-11-01T00:00:00+03:00,NO,0.008
2021-11-01T00:00:00+03:00,SO2,0.0009
2021-12-01T00:00:00+03:00,SO2,0.0012
2021-12-01T00:00:00+03:00,CO,0.31
2021-12-01T00:00:00+03:00,NH3,0.0055
2021-12-01T00:00:00+03:00,NO2,0.038
2021-12-01T00:00:00+03:00,NO,0.029
2021-12-01T00:00:00+03:00,PM10,0.015
2022-01-01T00:00:00+03:00,NH3,0.0051
2022-01-01T00:00:00+03:00,SO2,0.0013
2022-01-01T00:00:00+03:00,CO,0.23
2022-01-01T00:00:00+03:00,NO,0.011
2022-01-01T00:00:00+03:00,NO2,0.038
2022-01-01T00:00:00+03:00,PM10,0.013
2022-02-01T00:00:00+03:00,PM10,0.016
2022-02-01T00:00:00+03:00,SO2,0.0013
2022-02-01T00:00:00+03:00,NO2,0.045
2022-02-01T00:00:00+03:00,CO,0.15
2022-02-01T00:00:00+03:00,NH3,0.0062
2022-02-01T00:00:00+03:00,NO,0.015
2022-03-01T00:00:00+03:00,NO,0.065
2022-03-01T00:00:00+03:00,CO,0.3
2022-03-01T00:00:00+03:00,SO2,0.0029
2022-03-01T00:00:00+03:00,NO2,0.062
2022-03-01T00:00:00+03:00,PM10,0.041
2022-03-01T00:00:00+03:00,NH3,0.0108
2022-04-01T00:00:00+03:00,PM10,0.025
2022-04-01T00:00:00+03:00,SO2,0.0017
2022-04-01T00:00:00+03:00,NO2,0.042
2022-04-01T00:00:00+03:00,NO,0.013
2022-04-01T00:00:00+03:00,CO,0.14
2022-04-01T00:00:00+03:00,NH3,0.006
2022-05-01T00:00:00+03:00,NO2,0.034
2022-05-01T00:00:00+03:00,SO2,0.0015
2022-05-01T00:00:00+03:00,NH3,0.0053
2022-05-01T00:00:00+03:00,NO,0.015
2022-05-01T00:00:00+03:00,PM10,0.03
2022-05-01T00:00:00+03:00,CO,
2022-06-01T00:00:00+03:00,NO,0.032
2022-06-01T00:00:00+03:00,NO2,0.04
2022-06-01T00:00:00+03:00,PM10,0.044
2022-06-01T00:00:00+03:00,CO,0.35
2022-06-01T00:00:00+03:00,SO2,0.0014
