datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.01
2021-07-01T00:00:00+03:00,NO2,0.041
2021-07-01T00:00:00+03:00,CO,0.28
2021-07-01T00:00:00+03:00,PM2.5,0.012
2021-08-01T00:00:00+03:00,CO,0.36
2021-08-01T00:00:00+03:00,PM2.5,0.015
2021-08-01T00:00:00+03:00,NO2,0.044
2021-08-01T00:00:00+03:00,NO,0.013
2021-09-01T00:00:00+03:00,CO,0.31
2021-09-01T00:00:00+03:00,NO,0.016
2021-09-01T00:00:00+03:00,PM2.5,0.009
2021-09-01T00:00:00+03:00,NO2,0.031
2021-10-01T00:00:00+03:00,NO,0.025
2021-10-01T00:00:00+03:00,CO,0.29
2021-10-01T00:00:00+03:00,PM2.5,0.012
2021-10-01T00:00:00+03:00,NO2,0.045
2021-11-01T00:00:00+03:00,CO,0.2
2021-11-01T00:00:00+03:00,PM2.5,0.009
2021-11-01T00:00:00+03:00,NO2,0.032
2021-11-01T00:00:00+03:00,NO,0.021
2021-12-01T00:00:00+03:00,PM2.5,0.011
2021-12-01T00:00:00+03:00,CO,0.26
2021-12-01T00:00:00+03:00,NO2,0.04
2021-12-01T00:00:00+03:00,NO,0.038
2022-01-01T00:00:00+03:00,PM2.5,0.009
2022-01-01T00:00:00+03:00,CO,0.17
2022-01-01T00:00:00+03:00,NO2,0.041
2022-01-01T00:00:00+03:00,NO,0.015
2022-02-01T00:00:00+03:00,PM2.5,0.009
2022-02-01T00:00:00+03:00,CO,0.24
2022-02-01T00:00:00+03:00,NO2,0.041
2022-02-01T00:00:00+03:00,NO,0.013
2022-03-01T00:00:00+03:00,CO,0.38
2022-03-01T00:00:00+03:00,NO2,0.051
2022-03-01T00:00:00+03:00,PM2.5,0.01
2022-03-01T00:00:00+03:00,NO,0.022
2022-04-01T00:00:00+03:00,PM2.5,0.009
2022-04-01T00:00:00+03:00,NO2,0.035
2022-04-01T00:00:00+03:00,NO,0.009
2022-04-01T00:00:00+03:00,CO,0.22
2022-05-01T00:00:00+03:00,CO,0.18
2022-05-01T00:00:00+03:00,NO,0.007
2022-05-01T00:00:00+03:00,PM2.5,0.008
