datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,CO,0.46
2021-07-01T00:00:00+03:00,C6H5OH (фенол),0.0017
2021-07-01T00:00:00+03:00,CH2O (формальдегид),0.0028
2021-07-01T00:00:00+03:00,NO2,0.044
2021-07-01T00:00:00+03:00,C6H6 (бензол),0.013
2021-07-01T00:00:00+03:00,SO2,0.0029
2021-07-01T00:00:00+03:00,OZ,0.0243
2021-08-01T00:00:00+03:00,SO2,0.0037
2021-08-01T00:00:00+03:00,C6H6 (бензол),0.015
2021-08-01T00:00:00+03:00,CO,0.66
2021-08-01T00:00:00+03:00,OZ,0.0174
2021-08-01T00:00:00+03:00,NO2,0.049
2021-08-01T00:00:00+03:00,C6H5OH (фенол),0.0019
2021-08-01T00:00:00+03:00,CH2O (формальдегид),0.0014
2021-09-01T00:00:00+03:00,NO2,0.035
2021-09-01T00:00:00+03:00,OZ,0.0117
2021-09-01T00:00:00+03:00,CO,0.49
2021-09-01T00:00:00+03:00,SO2,0.0024
2021-09-01T00:00:00+03:00,C6H5OH (фенол),0.0021
2021-09-01T00:00:00+03:00,C6H6 (бензол),0.011
2021-09-01T00:00:00+03:00,CH2O (формальдегид),0.0011
2021-10-01T00:00:00+03:00,OZ,0.0127
2021-10-01T00:00:00+03:00,NO2,0.046
2021-10-01T00:00:00+03:00,CO,0.56
2021-10-01T00:00:00+03:00,C6H5OH (фенол),0.0017
2021-10-01T00:00:00+03:00,C6H6 (бензол),0.011
2021-10-01T00:00:00+03:00,CH2O (формальдегид),0.0022
2021-10-01T00:00:00+03:00,SO2,0.0028
2021-11-01T00:00:00+03:00,C6H6 (бензол),0.011
2021-11-01T00:00:00+03:00,SO2,0.0024
2021-11-01T00:00:00+03:00,OZ,0.0068
2021-11-01T00:00:00+03:00,CH2O (формальдегид),0.0008
2021-11-01T00:00:00+03:00,C6H5OH (фенол),0.001
2021-11-01T00:00:00+03:00,CO,0.41
2021-11-01T00:00:00+03:00,NO2,0.044
2021-12-01T00:00:00+03:00,SO2,0.0006
2021-12-01T00:00:00+03:00,OZ,0.0062
2021-12-01T00:00:00+03:00,CH2O (формальдегид),0.0019
2021-12-01T00:00:00+03:00,C6H6 (бензол),0.002
2021-12-01T00:00:00+03:00,NO2,0.051
2021-12-01T00:00:00+03:00,C6H5OH (фенол),0.0021
2021-12-01T00:00:00+03:00,CO,0.52
2022-01-01T00:00:00+03:00,CO,0.38
2022-01-01T00:00:00+03:00,CH2O (формальдегид),
2022-01-01T00:00:00+03:00,OZ,0.0197
2022-01-01T00:00:00+03:00,C6H5OH (фенол),0
2022-01-01T00:00:00+03:00,C6H6 (бензол),0.002
2022-01-01T00:00:00+03:00,SO2,0.0012
2022-01-01T00:00:00+03:00,NO2,0.064
2022-02-01T00:00:00+03:00,OZ,0.0256
2022-02-01T00:00:00+03:00,C6H6 (бензол),0.002
2022-02-01T00:00:00+03:00,NO2,0.056
2022-02-01T00:00:00+03:00,C6H5OH (фенол),0.0004
2022-02-01T00:00:00+03:00,CO,0.42
2022-02-01T00:00:00+03:00,SO2,0.0018
2022-02-01T00:00:00+03:00,CH2O (формальдегид),0.0009
2022-03-01T00:00:00+03:00,C6H6 (бензол),0.002
2022-03-01T00:00:00+03:00,C6H5OH (фенол),0.001
2022-03-01T00:00:00+03:00,CH2O (формальдегид),0.0022
2022-03-01T00:00:00+03:00,OZ,0.0299
2022-03-01T00:00:00+03:00,NO2,0.073
2022-03-01T00:00:00+03:00,CO,0.47
2022-03-01T00:00:00+03:00,SO2,0.0018
2022-04-01T00:00:00+03:00,CH2O (формальдегид),0.0052
2022-04-01T00:00:00+03:00,C6H6 (бензол),0.001
2022-04-01T00:00:00+03:00,OZ,0.0351
2022-04-01T00:00:00+03:00,C6H5OH (фенол),0.0011
2022-04-01T00:00:00+03:00,CO,0.45
2022-04-01T00:00:00+03:00,SO2,0.0004
2022-04-01T00:00:00+03:00,NO2,0.056
2022-05-01T00:00:00+03:00,NO2,0.044
2022-05-01T00:00:00+03:00,SO2,0.0006
2022-05-01T00:00:00+03:00,OZ,0.0353
2022-05-01T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-01T00:00:00+03:00,C6H5OH (фенол),0.0007
2022-05-01T00:00:00+03:00,CO,0.34
2022-05-01T00:00:00+03:00,CH2O (формальдегид),0.0068
2022-06-01T00:00:00+03:00,NO2,0.05
2022-06-01T00:00:00+03:00,C6H5OH (фенол),0.0007
2022-06-01T00:00:00+03:00,C6H6 (бензол),0.001
2022-06-01T00:00:00+03:00,SO2,0.0006
2022-06-01T00:00:00+03:00,OZ,0.0274
2022-06-01T00:00:00+03:00,CH2O (формальдегид),0.0083
2022-06-01T00:00:00+03:00,CO,0.46
