datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO2,0.045
2021-07-01T00:00:00+03:00,OZ,0.0788
2021-07-01T00:00:00+03:00,CO,0.7
2021-07-01T00:00:00+03:00,NO,0.024
2021-08-01T00:00:00+03:00,CO,0.86
2021-08-01T00:00:00+03:00,OZ,0.0479
2021-08-01T00:00:00+03:00,NO,0.025
2021-08-01T00:00:00+03:00,NO2,0.05
2021-09-01T00:00:00+03:00,NO,0.021
2021-09-01T00:00:00+03:00,CO,0.6
2021-09-01T00:00:00+03:00,NO2,0.033
2021-09-01T00:00:00+03:00,OZ,0.0225
2021-10-01T00:00:00+03:00,CO,0.65
2021-10-01T00:00:00+03:00,NO2,0.049
2021-10-01T00:00:00+03:00,NO,0.069
2021-10-01T00:00:00+03:00,OZ,0.024
2021-11-01T00:00:00+03:00,NO,0.02
2021-11-01T00:00:00+03:00,NO2,0.042
2021-11-01T00:00:00+03:00,OZ,0.0193
2021-11-01T00:00:00+03:00,CO,0.39
2021-12-01T00:00:00+03:00,OZ,0.0133
2021-12-01T00:00:00+03:00,CO,0.47
2021-12-01T00:00:00+03:00,NO2,0.053
2021-12-01T00:00:00+03:00,NO,0.049
2022-01-01T00:00:00+03:00,OZ,0.0239
2022-01-01T00:00:00+03:00,NO,0.021
2022-01-01T00:00:00+03:00,NO2,0.047
2022-01-01T00:00:00+03:00,CO,0.35
2022-02-01T00:00:00+03:00,OZ,0.0294
2022-02-01T00:00:00+03:00,NO2,0.047
2022-02-01T00:00:00+03:00,NO,0.022
2022-02-01T00:00:00+03:00,CO,0.41
2022-03-01T00:00:00+03:00,NO2,0.053
2022-03-01T00:00:00+03:00,NO,0.053
2022-03-01T00:00:00+03:00,CO,0.55
2022-03-01T00:00:00+03:00,OZ,0.0394
2022-04-01T00:00:00+03:00,CO,0.28
2022-04-01T00:00:00+03:00,NO2,0.035
2022-04-01T00:00:00+03:00,NO,0.01
2022-04-01T00:00:00+03:00,OZ,0.0466
2022-05-01T00:00:00+03:00,NO2,0.033
2022-05-01T00:00:00+03:00,CO,0.34
2022-05-01T00:00:00+03:00,NO,0.013
2022-05-01T00:00:00+03:00,OZ,
2022-06-01T00:00:00+03:00,NO,
2022-06-01T00:00:00+03:00,OZ,
2022-06-01T00:00:00+03:00,NO2,
2022-06-01T00:00:00+03:00,CO,
