datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,PM2.5,0.016
2021-07-01T00:00:00+03:00,CO,0.32
2021-07-01T00:00:00+03:00,PM10,0.036
2021-07-01T00:00:00+03:00,NO,0.012
2021-07-01T00:00:00+03:00,NO2,0.033
2021-08-01T00:00:00+03:00,NO,0.018
2021-08-01T00:00:00+03:00,NO2,0.038
2021-08-01T00:00:00+03:00,PM2.5,0.016
2021-08-01T00:00:00+03:00,PM10,0.032
2021-08-01T00:00:00+03:00,CO,0.37
2021-09-01T00:00:00+03:00,NO,0.016
2021-09-01T00:00:00+03:00,CO,0.29
2021-09-01T00:00:00+03:00,NO2,0.029
2021-09-01T00:00:00+03:00,PM2.5,0.011
2021-09-01T00:00:00+03:00,PM10,0.023
2021-10-01T00:00:00+03:00,NO,0.039
2021-10-01T00:00:00+03:00,CO,0.36
2021-10-01T00:00:00+03:00,NO2,0.036
2021-10-01T00:00:00+03:00,PM2.5,0.015
2021-10-01T00:00:00+03:00,PM10,0.035
2021-11-01T00:00:00+03:00,PM10,0.017
2021-11-01T00:00:00+03:00,PM2.5,0.01
2021-11-01T00:00:00+03:00,NO,0.018
2021-11-01T00:00:00+03:00,NO2,0.028
2021-11-01T00:00:00+03:00,CO,0.25
2021-12-01T00:00:00+03:00,NO2,0.036
2021-12-01T00:00:00+03:00,PM2.5,0.012
2021-12-01T00:00:00+03:00,NO,0.023
2021-12-01T00:00:00+03:00,CO,0.24
2021-12-01T00:00:00+03:00,PM10,0.016
2022-01-01T00:00:00+03:00,PM2.5,0.012
2022-01-01T00:00:00+03:00,NO,0.011
2022-01-01T00:00:00+03:00,NO2,0.037
2022-01-01T00:00:00+03:00,CO,0.2
2022-01-01T00:00:00+03:00,PM10,0.014
2022-02-01T00:00:00+03:00,PM10,0.016
2022-02-01T00:00:00+03:00,PM2.5,0.011
2022-02-01T00:00:00+03:00,NO2,0.043
2022-02-01T00:00:00+03:00,CO,0.22
2022-02-01T00:00:00+03:00,NO,0.013
2022-03-01T00:00:00+03:00,PM2.5,0.013
2022-03-01T00:00:00+03:00,NO,0.042
2022-03-01T00:00:00+03:00,PM10,0.033
2022-03-01T00:00:00+03:00,CO,0.31
2022-03-01T00:00:00+03:00,NO2,0.049
2022-04-01T00:00:00+03:00,PM2.5,0.009
2022-04-01T00:00:00+03:00,CO,0.18
2022-04-01T00:00:00+03:00,PM10,0.019
2022-04-01T00:00:00+03:00,NO2,0.033
2022-04-01T00:00:00+03:00,NO,0.007
2022-05-01T00:00:00+03:00,NO2,0.029
2022-05-01T00:00:00+03:00,PM2.5,0.009
2022-05-01T00:00:00+03:00,PM10,0.02
2022-05-01T00:00:00+03:00,NO,0.008
2022-05-01T00:00:00+03:00,CO,0.17
